Language Key	en	es	de	da	fi	fr	id	it	nl	no	pt	nb	ru	sv	tr
HOME.ACCOUNT.VISITORS_MODULE.TITLE	Unique visits to your website over time	Visitantes únicos de tu sitio web en un período de tiempo	Einmalige Besuche auf Ihrer Webseite in letzter Zeit	Samlet antal unikke besøg på din hjemmeside	Ainutkertaiset vierailut verkkosivullasi ajan mittaan	Des visites uniques sur votre site Web au fil du temps	Kunjungan unik ke situs web Anda seiring waktu	Visite singole al tuo sito web nel tempo	Unieke bezoeken naar uw website over een specifieke periode	Unike besøk på hjemmesiden din så langt	Visitas únicas ao seu site ao longo do tempo	Unike besøk på hjemmesiden din så langt	Уникальные посещения Вашего сайта 	Unika besök på din hemsida över en tidsperiod	Zaman içinde web sitenize yapılan özgün ziyaretler
HOME.ACCOUNT.VISITORS_MODULE.INFOBOX.FIRSTLINE	You can now see your number of website visitors over time	Ahora ya puedes ver el número de visitantes que llegan a tu sitio web en un período de tiempo	Sie können nun sehen, wie viele Webseitenbesuche Sie in letzter Zeit hatten	Du kan nu se det samlede antal besøgende på din hjemmeside	Voit nyt nähdä verkkosivullasi ajan mittaan vierailevien määrän	Vous pouvez maintenant voir le nombre de visiteurs de votre site Web au fil du temps	Kini Anda dapat melihat jumlah pengunjung situs web Anda seiring waktu	Ora puoi visualizzare il numero dei visitatori del tuo sito web nel tempo	U kunt nu uw aantal website bezoekers bekijken over een specifieke periode.	Nå kan du se antallet besøkende som er innom hjemmesiden din	Já pode ver o número de visitantes do seu site ao longo do tempo	Nå kan du se antallet besøkende som er innom hjemmesiden din	Теперь Вы можете увидеть количество посетителей Вашего сайта в течение определенного периода времени 	Nu kan du se antalet besökare på din hemsida över en tidsperiod	Artık zaman içinde web sitenizin ziyaretçi sayısını görebilirsiniz
HOME.ACCOUNT.VISITORS_MODULE.INFOBOX.SECONDLINE	Please note that this is a new functionality that may be subject to change over the coming months	Nota: Esta es una nueva función de la web que podría ser cambiada en los próximos meses	Bitte beachten Sie, dass diese neue Funktion in den folgenden Monaten nochmals verändert bzw. verbessert werden könnte.	Bemærk venligst at dette er en ny funktionalitet, som måske ændres i løbet af de kommende måneder	Huomioithan, että tämä on uusi ominaisuus, joka voi mahdollisesti muuttua tulevina kuukausina	Veuillez noter qu'il s'agit d'une nouvelle fonctionnalité qui pourrait changer au cours des prochains mois	Mohon perhatikan bahwa ini adalah fungsionalitas baru yang mungkin dapat berubah dalam bulan-bulan mendatang	Ti prego di notare che questa è una funzione nuova e potrà quindi subire variazioni durante i prossimi mesi	Gelieve te noteren dat dit een nieuwe functie is, die mogelijk nog veranderd zal worden in de komende maanden.	Vennligst legg merke til at dette er en ny funksjon, og at den kanskje endrer seg de neste månedene	Por favor, note que esta é uma funcionalidade nova que poderá sofrer alterações nos próximos meses	Vennligst legg merke til at dette er en ny funksjon, og at den kanskje endrer seg de neste månedene	Обратите внимание, что это новый функционал, который в ближайшие месяцы может быть изменен	Vänligen notera att detta är en ny funktion som kan komma att ändras de närmsta månaderna	Lütfen bunun gelecek aylarda değişebilecek yeni bir özellik olduğunu not ediniz.
HOME.ACCOUNT.VISITORS_MODULE.ZERO_MESSAGE.TITLE	Nothing to show (yet)!	¡No hay nada que mostrar (todavía)!	(Noch) keine Anzeige!	Intet at vise (endnu)	Ei mitään näytettävää (vielä)!	Rien à montrer (encore)!	Belum ada yang dapat ditampilkan!	Nulla da mostrare (per ora)!	(nog) Niets te tonen!	Ingenting å vise (enda!)	Nada para mostrar (por agora)!	Ingenting å vise (enda!)	Пока что пусто!	Inget att visa (än)!	Gösterilecek bir şey yok (henüz)!
HOME.ACCOUNT.VISITORS_MODULE.ZERO_MESSAGE.FIRSTLINE	We've registrered no visits to you website yet. Keep in mind that the data is ~24h behind, so check back in again later.	Todavía no se ha registrado ninguna visita en tu sitio web. Ten en cuenta que los datos se actualizan cada 24 horas, revisa de nuevo un poco más tarde.	Wir haben noch keine Besuche auf Ihrer Webseite registriert. Bitte beachten Sie, dass die Daten ca. um 24 Stunden zeitversetzt sind; überprüfen Sie es daher einfach später nochmals.	Vi har ikke registreret besøg på din hjemmeside endnu. Men bemærk at dataen er ca. 24 timer forsinket, så prøv at tjekke igen senere.	Emme ole vielä rekisteröineet vierailuja verkkosivullasi. Huomioithan, että tiedot ovat ~24h jäljessä, eli tarkistathan myöhemmin uudelleen.	Nous n'avons enregistré aucune visite sur votre site Web pour le moment.Veuilez noter que les données sont ~ 24h derrière, donc revenez plus tard.	Belum ada kunjungan yang tercatat ke situs web Anda. Mohon perhatikan bahwa ini adalah data dari 24 jam terakhir, jadi kembalilah lagi nanti.	Non abbiamo ancora registrato alcuna visita al tuo sito web. Tieni a mente che i dati sono indietro di 24 ore, puoi dare un’occhiata più tardi.	We hebben nog geen bezoeken geregistreerd naar uw website. Houdt er echter rekening mee dat de gegevens ~24u later pas verwerkt worden. Gelieve later uw gegevens nogmaals te controleren.	Vi har ikke registrert noen besøk på hjemmesiden din så langt. Husk på at datalagringen ligger 24 timer bak, så sjekk igjen senere.	Ainda não registrámos visitas ao seu site. Lembre-se que estes dados ainda não refletem as últimas 24 horas, por isso tente novamente mais tarde.	Vi har ikke registrert noen besøk på hjemmesiden din så langt. Husk på at datalagringen ligger 24 timer bak, så sjekk igjen senere.	Пока что мы не зарегистрировали посещений на Вашем сайте. Имейте в виду, что данные регистрируются с задержкой в 24 часа (примерно), поэтому Вы можете проверить эти данные снова позже.	Vi har inte registrerat några besök på din hemsida än. Tänk på att uppgifterna är ~24h efter, så kolla igen senare.	Web sitenize henüz bir ziyaret kaydedemedik. Verilerin 24 saat geriden geldiğini unutmayın, daha sonra tekrar göz atın.
HOME.ACCOUNT.VISITORS_MODULE.ZERO_MESSAGE.SECONDLINE	To generate some traffic for your website, try sharing it with people you know.	Para generar tráfico en tu sitio web, trata de compartirlo con gente que conozcas.	Um Besuche auf Ihrer Webseite zu generieren, teilen Sie die Seite mit Personen in Ihrem Umfeld	For at få trafik på din hjemmeside, så prøv at dele den med dem du kender.	Saadaksesi verkkosivullesi liikennettä, yritä jakaa se tuntemiesi ihmisten kanssa.	Pour avoir plus du trafic sur votre site Web, essayez de le partager avec des personnes que vous connaissez.	Untuk menciptakan lalu lintas ke situs web Anda, cobalah membagikannya kepada orang-orang yang Anda kenal.	Per generare più traffico per il tuo sito web, prova a condividerlo con le persone che conosci.	Probeer om uw website te delen met mensen die u kent, om meer bezoeken naar uw website te genereren.	For å øke trafikken på hjemmesiden din, kan du prøve å dele den med mennesker du kjenner.	Para gerar algum tráfego em seu website, tente compartilhá-lo com os seus conhecidos.	For å øke trafikken på hjemmesiden din, kan du prøve å dele den med mennesker du kjenner.	Чтобы сгенерировать трафик для Вашего сайта, поделитесь им со своими знакомыми.	För att generera mer trafik till hemsida, prova att dela den med människor du känner.	Web sitenizdeki trafiği artırmak için, bildiğiniz insanlarla sitenizi paylaşmayı deneyin.
HOME.ACCOUNT.VISITORS_MODULE.ZERO_MESSAGE.THIRDLINE	You can do this by clicking	Puedes compartir tu sitio haciendo clic	Sie können dies tun, indem Sie auf	Det kan du gøre ved at klikke	Voit tehdä sen klikkaamalla	Vous pouvez le faire en cliquant	Anda dapat melakukannya dengan mengeklik	Puoi farlo facendo click su	U kunt dit doen als u klikt op	Du kan gjøre dette ved å klikke	Pode fazê-lo clicando	Du kan gjøre dette ved å klikke	Вы можете сделать это, нажав	Du kan göra det genom att klicka på	Bunu buraya tıklayarak
HOME.ACCOUNT.VISITORS_MODULE.ZERO_MESSAGE.FOURTHLINE	in the editor menu.	en el editor del menú	im Bearbeitungsmenü klicken.	i menuen i din editor	muokkausvalikossa.	dans le menu de l'éditeur.	pada menu editor.	nel menu.	In het editor menu	på redigeringsmenyen.	no menu do editor.	på redigeringsmenyen.	в меню редактора Вашего сайта.	i redigeringsverktyget.	editör menüsünde yapabilirsiniz.
HOME.ACCOUNT.VISITORS_MODULE.CHOOSE_RANGE_TEXT	Choose date range	Escoge el período de tiempo	Wählen Sie die Datenreihe aus	Vælg datointerval	Valitse ajanjakso	Choisir la plage de dates	Pilih kisaran tanggal	Scegli il periodo	Kies datumbereik	Velg datoer	Escolha o período	Velg datoer	Выберите временной промежуток	Välj tidsperiod	Veri aralığını seçin
HOME.ACCOUNT.VISITORS_MODULE.ZOOM_TEXT	Manually zoom in range	Escoge el período de tiempo manualmente	Wählen Sie die Datenreihe manuell	Ryk datointerval manuelt	Zoomaa manuaalisesti alueella	Zoom manuel	Atur kisaran manual	Seleziona manualmente il periodo	Inzoomen handmatig aanpassen	Zoom inn tidsramme manuelt	Ampliar manualmente no período	Zoom inn tidsramme manuelt	Выбрать период вручную	Zooma in period manuellt	Aralığı manuel olarak yakınlaştır
